Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,y8a03016.wav,wav,3.37,48000,16,1,-19.33,-2.58
Dialogue,y8a03017.wav,wav,5.37,48000,16,1,-19.28,-3.48
Dialogue,y8a03018.wav,wav,2.17,48000,16,1,-21.09,-6.07
Dialogue,y8a03019.wav,wav,4.06,48000,16,1,-21.35,-4.65
Dialogue,y8a03020.wav,wav,5.68,48000,16,1,-19.53,-1.44
Dialogue,y8a03021.wav,wav,4.28,48000,16,1,-21.92,-3.44
Dialogue,y8a03022.wav,wav,3.80,48000,16,1,-21.34,-4.00
Dialogue,y8a03023.wav,wav,5.27,48000,16,1,-22.01,-3.41
Dialogue,y8a03024.wav,wav,2.35,48000,16,1,-20.07,-3.75
Dialogue,y8a03025.wav,wav,3.45,48000,16,1,-20.06,-3.78
Dialogue,y8a03026.wav,wav,1.72,48000,16,1,-21.31,-2.51
Dialogue,y8a03027.wav,wav,2.63,48000,16,1,-18.74,-1.75
Dialogue,y8a03028.wav,wav,3.91,48000,16,1,-19.89,-2.60
Dialogue,y8a03029.wav,wav,4.79,48000,16,1,-18.59,-2.87
Dialogue,y8a03030.wav,wav,3.29,48000,16,1,-21.27,-4.81
Dialogue,y8a03031.wav,wav,3.29,48000,16,1,-18.71,-3.05
Dialogue,y8a03032.wav,wav,0.61,48000,16,1,-16.04,-3.12
Dialogue,y8a03033.wav,wav,5.53,48000,16,1,-18.81,-2.10
Dialogue,y8a03034.wav,wav,2.22,48000,16,1,-18.34,-2.21
Dialogue,y8a04000.wav,wav,5.63,48000,16,1,-17.69,-2.82
Dialogue,y8a04001.wav,wav,4.45,48000,16,1,-18.99,-3.44
Dialogue,y8a04002.wav,wav,2.48,48000,16,1,-17.00,-3.31
Dialogue,y8a04003.wav,wav,1.28,48000,16,1,-17.45,-4.48
Dialogue,y8a04004.wav,wav,6.32,48000,16,1,-18.33,-4.04
Dialogue,y8a04005.wav,wav,1.98,48000,16,1,-16.54,-4.34
Dialogue,y8a04006.wav,wav,2.59,48000,16,1,-17.59,-2.81
Dialogue,y8a04007.wav,wav,1.73,48000,16,1,-15.71,-3.45
Dialogue,y8a04008.wav,wav,4.44,48000,16,1,-21.40,-3.02
Dialogue,y8a04009.wav,wav,3.05,48000,16,1,-17.54,-4.70
Dialogue,y8a04010.wav,wav,1.53,48000,16,1,-17.17,-4.11
Dialogue,y8a04011.wav,wav,2.39,48000,16,1,-17.00,-3.59
Dialogue,y8a04012.wav,wav,3.02,48000,16,1,-18.86,-4.57
Dialogue,y8a04013.wav,wav,5.16,48000,16,1,-20.14,-5.49
Dialogue,y8a04014.wav,wav,1.39,48000,16,1,-20.09,-6.06
Dialogue,y8a04015.wav,wav,1.70,48000,16,1,-16.40,-4.65
Dialogue,y8a04016.wav,wav,3.80,48000,16,1,-18.76,-3.29
Dialogue,y8a04017.wav,wav,4.81,48000,16,1,-17.54,-4.40
Dialogue,y8a04018.wav,wav,3.12,48000,16,1,-17.34,-4.11
Dialogue,y8a04019.wav,wav,2.48,48000,16,1,-16.22,-6.06
Dialogue,y8a04020.wav,wav,1.39,48000,16,1,-15.82,-5.10
Dialogue,y8a04021.wav,wav,3.07,48000,16,1,-18.71,-3.93
Dialogue,y8a04022.wav,wav,2.92,48000,16,1,-17.65,-2.70
Dialogue,y8a04023.wav,wav,3.05,48000,16,1,-17.45,-3.71
Dialogue,y8a04024.wav,wav,2.43,48000,16,1,-17.64,-3.51
Dialogue,y8a04025.wav,wav,2.46,48000,16,1,-17.92,-3.49
Dialogue,y8a04026.wav,wav,2.06,48000,16,1,-17.15,-4.19
Dialogue,y8a04027.wav,wav,2.02,48000,16,1,-16.66,-4.17
Dialogue,y8a04028.wav,wav,1.66,48000,16,1,-17.16,-2.71
Dialogue,y8a04029.wav,wav,3.59,48000,16,1,-16.89,-5.10
Dialogue,y8a04030.wav,wav,2.28,48000,16,1,-15.98,-3.51
Dialogue,y8a04031.wav,wav,4.87,48000,16,1,-17.76,-3.35
Dialogue,y8a04032.wav,wav,0.64,48000,16,1,-16.97,-3.48
Dialogue,y8a04033.wav,wav,2.10,48000,16,1,-18.21,-3.49
Dialogue,y8a04034.wav,wav,5.02,48000,16,1,-18.12,-4.56
Dialogue,y8a05000.wav,wav,3.74,48000,16,1,-20.09,-4.50
Dialogue,y8a05001.wav,wav,5.58,48000,16,1,-19.94,-4.51
Dialogue,y8a05002.wav,wav,5.43,48000,16,1,-19.15,-3.10
Dialogue,y8a05003.wav,wav,2.23,48000,16,1,-19.33,-2.52
Dialogue,y8a05004.wav,wav,6.60,48000,16,1,-19.71,-1.75
Dialogue,y8a05005.wav,wav,3.93,48000,16,1,-20.09,-2.22
Dialogue,y8a05006.wav,wav,3.89,48000,16,1,-19.73,-1.78
Dialogue,y8a05007.wav,wav,3.49,48000,16,1,-19.14,-5.04
Dialogue,y8a05008.wav,wav,2.08,48000,16,1,-17.92,-4.20
Dialogue,y8a05009.wav,wav,2.27,48000,16,1,-20.86,-3.64
Dialogue,y8a05010.wav,wav,4.99,48000,16,1,-21.27,-1.00
Dialogue,y8a05011.wav,wav,2.26,48000,16,1,-21.05,-2.15
Dialogue,y8a05012.wav,wav,4.27,48000,16,1,-20.41,-2.36
Dialogue,y8a05013.wav,wav,1.34,48000,16,1,-22.79,-2.44
Dialogue,y8a05014.wav,wav,2.76,48000,16,1,-18.92,-3.42
Dialogue,y8a05015.wav,wav,4.41,48000,16,1,-19.55,-2.34
Dialogue,y8a05016.wav,wav,4.41,48000,16,1,-22.20,-3.21
Dialogue,y8a05017.wav,wav,3.71,48000,16,1,-22.08,-3.07
Dialogue,y8a05018.wav,wav,5.37,48000,16,1,-20.46,-3.08
Dialogue,y8a05019.wav,wav,2.65,48000,16,1,-21.29,-2.47
Dialogue,y8a05020.wav,wav,3.80,48000,16,1,-21.47,-3.53
Dialogue,y8a05021.wav,wav,4.66,48000,16,1,-19.90,-1.81
Dialogue,y8a05022.wav,wav,4.62,48000,16,1,-20.12,-3.01
Dialogue,y8a05023.wav,wav,5.73,48000,16,1,-20.63,-3.92
Dialogue,y8a05024.wav,wav,3.08,48000,16,1,-19.28,-1.89
Dialogue,y8a05025.wav,wav,5.34,48000,16,1,-19.45,-2.76
Dialogue,y8a05026.wav,wav,4.47,48000,16,1,-19.00,-3.86
